project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal,
170-149-Domino测试_1463737794.csv,20.0,21.0,0.9523809523809523,105.0,149.0,0.7046979865771812,0.2953020134228188,0.4508196721311476,0.4508196721311476,131.0,-26.0,20.0,
171-290-百问百答测试_1463737762.csv,34.0,34.0,1.0,290.0,290.0,1.0,0.0,0.0,0.0,244.0,46.0,0.0,43.0,
181-271-网乐惠测试_1463737849.csv,18.0,33.0,0.5454545454545454,47.0,271.0,0.17343173431734318,0.8265682656826568,0.6572127139364303,0.6572127139364303,240.0,-193.0,18.0,
189-216-跑跑测试_1463737615.csv,23.0,25.0,0.92,84.0,216.0,0.3888888888888889,0.6111111111111112,0.7343976777939043,0.7343976777939043,178.0,-94.0,23.0,
216-283-大帮汇测试_1463737957.csv,25.0,34.0,0.7352941176470589,56.0,283.0,0.1978798586572438,0.8021201413427562,0.7672547826674779,0.7672547826674779,228.0,-172.0,25.0,
217-288-bug大帮汇测试_1470654530.csv,23.0,36.0,0.6388888888888888,59.0,288.0,0.2048611111111111,0.7951388888888888,0.7085014796879203,0.7085014796879203,233.0,-174.0,23.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,78.0,25.0,20.0,
219-103-恶龙公主—逆塔防测试_1463737972.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,78.0,25.0,20.0,
220-798-农科助手测试_1463737988.csv,40.0,99.0,0.40404040404040403,69.0,798.0,0.08646616541353383,0.9135338345864662,0.5602789866559068,0.5602789866559068,683.0,-614.0,40.0,
239-132-海捣网测试_1463738033.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,76.0,56.0,26.0,
240-132-bug海捣网测试_1470654473.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,76.0,56.0,26.0,
243-250-bugmalimalihome测试_1470654477.csv,28.0,31.0,0.9032258064516129,74.0,250.0,0.296,0.704,0.7912652536929994,0.7912652536929994,167.0,-93.0,28.0,
244-250-malimalihome测试_1463738030.csv,28.0,31.0,0.9032258064516129,74.0,250.0,0.296,0.704,0.7912652536929994,0.7912652536929994,167.0,-93.0,28.0,
249-222-玖信贷测试_1463738047.csv,27.0,27.0,1.0,222.0,222.0,1.0,0.0,0.0,0.0,148.0,74.0,28.0,
250-222-bug玖信贷测试_1470654468.csv,27.0,27.0,1.0,222.0,222.0,1.0,0.0,0.0,0.0,148.0,74.0,28.0,
257-133-bug口袋故事测试_1470654466.csv,18.0,19.0,0.9473684210526315,85.0,133.0,0.6390977443609023,0.3609022556390977,0.5226860254083485,0.5226860254083485,96.0,-11.0,18.0,
258-133-口袋故事测试_1463738051.csv,18.0,19.0,0.9473684210526315,85.0,133.0,0.6390977443609023,0.3609022556390977,0.5226860254083485,0.5226860254083485,96.0,-11.0,18.0,
261-195-小刀汇测试_1463738056.csv,25.0,27.0,0.9259259259259259,101.0,195.0,0.517948717948718,0.482051282051282,0.6340213139079994,0.6340213139079994,155.0,-54.0,25.0,
261-195-小刀汇测试_1463738056.csv,25.0,27.0,0.9259259259259259,101.0,195.0,0.517948717948718,0.482051282051282,0.6340213139079994,0.6340213139079994,155.0,-54.0,25.0,
263-212-bug芈糕测试_1470654464.csv,23.0,26.0,0.8846153846153846,63.0,212.0,0.2971698113207547,0.7028301886792453,0.7833142857142859,0.7833142857142859,161.0,-98.0,23.0,
263-212-bug芈糕测试_1470654464.csv,23.0,26.0,0.8846153846153846,63.0,212.0,0.2971698113207547,0.7028301886792453,0.7833142857142859,0.7833142857142859,161.0,-98.0,23.0,
267-194-bug车阿哥（用户端）测试_1470654466.csv,26.0,27.0,0.9629629629629629,81.0,194.0,0.4175257731958763,0.5824742268041236,0.7258801729462631,0.7258801729462631,143.0,-62.0,26.0,
268-194-车阿哥（用户端）测试_1463738053.csv,26.0,27.0,0.9629629629629629,81.0,194.0,0.4175257731958763,0.5824742268041236,0.7258801729462631,0.7258801729462631,143.0,-62.0,26.0,
275-261-bug淘二手测试_1470654455.csv,20.0,32.0,0.625,47.0,261.0,0.18007662835249041,0.8199233716475096,0.7093138879681803,0.7093138879681803,227.0,-180.0,20.0,
276-261-淘二手测试_1463738066.csv,20.0,32.0,0.625,47.0,261.0,0.18007662835249041,0.8199233716475096,0.7093138879681803,0.7093138879681803,227.0,-180.0,20.0,
295-128-bug车典APP测试_1470654436.csv,15.0,15.0,1.0,128.0,128.0,1.0,0.0,0.0,0.0,104.0,24.0,16.0,
296-128-车典APP测试_1463738082.csv,15.0,15.0,1.0,128.0,128.0,1.0,0.0,0.0,0.0,104.0,24.0,16.0,
299-197-bug每刻兼职测试_1470654441.csv,28.0,28.0,1.0,197.0,197.0,1.0,0.0,0.0,0.0,164.0,33.0,31.0,
300-197-每刻兼职测试_1463738080.csv,28.0,28.0,1.0,197.0,197.0,1.0,0.0,0.0,0.0,164.0,33.0,31.0,
327-239-动起来测试_1463738068.csv,29.0,29.0,1.0,239.0,239.0,1.0,0.0,0.0,0.0,214.0,25.0,23.0,53.0,
328-239-bug动起来测试_1470654454.csv,29.0,29.0,1.0,239.0,239.0,1.0,0.0,0.0,0.0,214.0,25.0,23.0,53.0,
338-315-bug邻邻V1.3.4 build测试_1470654409.csv,26.0,37.0,0.7027027027027027,61.0,315.0,0.19365079365079366,0.8063492063492064,0.7509665681146236,0.7509665681146236,271.0,-210.0,26.0,
343-115-bug100赚V1.4测试_1470654401.csv,16.0,16.0,1.0,115.0,115.0,1.0,0.0,0.0,0.0,77.0,38.0,20.0,
346-214-bug徐水圈V1.0.160419测试_1470654402.csv,23.0,25.0,0.92,118.0,214.0,0.5514018691588785,0.44859813084112155,0.603113903305108,0.603113903305108,189.0,-71.0,23.0,
360-277-bug寻到宝V1.0.0测试_1470654368.csv,28.0,34.0,0.8235294117647058,83.0,277.0,0.2996389891696751,0.7003610108303249,0.7569676700111482,0.7569676700111482,219.0,-136.0,28.0,
361-155-bug德成贷V1.0测试_1470654375.csv,20.0,22.0,0.9090909090909091,90.0,155.0,0.5806451612903226,0.4193548387096774,0.5739514348785871,0.5739514348785871,125.0,-35.0,20.0,
403-197-bug点帮帮测试_1470654349.csv,27.0,27.0,1.0,197.0,197.0,1.0,0.0,0.0,0.0,176.0,21.0,0.0,40.0,
404-270-bug门诊大厅V2.6.5测试_1470654351.csv,33.0,33.0,1.0,270.0,270.0,1.0,0.0,0.0,0.0,221.0,49.0,0.0,11.0,94.0,
426-122-bug二酒网V1.0测试_1470654340.csv,16.0,16.0,1.0,122.0,122.0,1.0,0.0,0.0,0.0,99.0,23.0,0.0,33.0,
451-109-bug掌上110V1.0.0测试_1470654321.csv,15.0,15.0,1.0,109.0,109.0,1.0,0.0,0.0,0.0,93.0,16.0,16.0,
488-132-bug易秒微配客户端V1.0.0测试_1470654297.csv,18.0,18.0,1.0,132.0,132.0,1.0,0.0,0.0,0.0,80.0,52.0,23.0,
543-117-bug华数享看V2.1.0测试_1470654279.csv,14.0,14.0,1.0,117.0,117.0,1.0,0.0,0.0,0.0,101.0,16.0,0.0,33.0,
106-103-基金速览2.3测试_1463737575.csv,14.0,14.0,1.0,103.0,103.0,1.0,0.0,0.0,0.0,67.0,36.0,20.0,
111-241-迪信通测试二_1463737590.csv,16.0,30.0,0.5333333333333333,43.0,241.0,0.17842323651452283,0.8215767634854771,0.6467946100449162,0.6467946100449162,158.0,-115.0,16.0,
113-177-Hark测试_1463737599.csv,21.0,24.0,0.875,93.0,177.0,0.5254237288135594,0.47457627118644063,0.6153846153846153,0.6153846153846153,132.0,-39.0,21.0,
508-159-bug好园区VV1.0.5测试_1470654289.csv,20.0,22.0,0.9090909090909091,93.0,159.0,0.5849056603773585,0.41509433962264153,0.5699481865284974,0.5699481865284974,119.0,-26.0,20.0,
442-124-bug上海三农热线V1.0测试_1470654332.csv,16.0,16.0,1.0,124.0,124.0,1.0,0.0,0.0,0.0,76.0,48.0,18.0,33.0,
362-172-bug一比分V1.1.0测试_1470654365.csv,16.0,23.0,0.6956521739130435,46.0,172.0,0.26744186046511625,0.7325581395348837,0.7136283185840708,0.7136283185840708,147.0,-101.0,16.0,
366-206-bug通辽碧桂园V2.07.160526测试_1470654364.csv,12.0,24.0,0.5,65.0,206.0,0.3155339805825243,0.6844660194174756,0.5778688524590163,0.5778688524590163,172.0,-107.0,12.0,
348-467-bug友服商城V1.0测试_1470654398.csv,44.0,58.0,0.7586206896551724,137.0,467.0,0.29336188436830835,0.7066381156316917,0.7317073170731707,0.7317073170731707,416.0,-279.0,23.0,66.0,
350-324-bugdr.wineV3.1.2测试_1470654390.csv,40.0,40.0,1.0,324.0,324.0,1.0,0.0,0.0,0.0,264.0,60.0,0.0,45.0,54.0,
351-123-bugFolderExplorerV1.0测试_1470654387.csv,17.0,17.0,1.0,123.0,123.0,1.0,0.0,0.0,0.0,97.0,26.0,18.0,
293-143-bug一度蜜测试_1470654434.csv,20.0,20.0,1.0,143.0,143.0,1.0,0.0,0.0,0.0,85.0,58.0,23.0,
226-325-郑州地铁二维码购票测试_1463738008.csv,28.0,39.0,0.717948717948718,68.0,325.0,0.20923076923076922,0.7907692307692308,0.7526015792501177,0.7526015792501177,261.0,-193.0,28.0,
227-325-bug郑州地铁二维码购票测试_1470654508.csv,28.0,39.0,0.717948717948718,68.0,325.0,0.20923076923076922,0.7907692307692308,0.7526015792501177,0.7526015792501177,261.0,-193.0,28.0,
230-217-bug易约爱测试_1470654510.csv,25.0,27.0,0.9259259259259259,128.0,217.0,0.5898617511520737,0.41013824884792627,0.5684721512519162,0.5684721512519162,162.0,-34.0,25.0,
231-217-易约爱测试_1463738003.csv,25.0,27.0,0.9259259259259259,128.0,217.0,0.5898617511520737,0.41013824884792627,0.5684721512519162,0.5684721512519162,162.0,-34.0,25.0,
212-404-经常直播内测版测试_1463737964.csv,43.0,50.0,0.86,119.0,404.0,0.29455445544554454,0.7054455445544554,0.7750932894820063,0.7750932894820063,267.0,-148.0,43.0,
161-270-凤凰视频beta版_1463737748.csv,20.0,31.0,0.6451612903225806,70.0,270.0,0.25925925925925924,0.7407407407407407,0.689655172413793,0.689655172413793,220.0,-150.0,20.0,
162-412-网上订餐软件测试_1463737768.csv,21.0,51.0,0.4117647058823529,62.0,412.0,0.15048543689320387,0.8495145631067962,0.554675118858954,0.554675118858954,326.0,-264.0,21.0,
154-186-BCHMS测试_1463737680.csv,15.0,26.0,0.5769230769230769,41.0,186.0,0.22043010752688172,0.7795698924731183,0.663109756097561,0.663109756097561,149.0,-108.0,15.0,
150-275-石榴网APP测试_1463737733.csv,21.0,34.0,0.6176470588235294,60.0,275.0,0.21818181818181817,0.7818181818181819,0.6901031715705006,0.6901031715705006,234.0,-174.0,21.0,
136-215-简明天气测试_1463737693.csv,18.0,24.0,0.75,65.0,215.0,0.3023255813953488,0.6976744186046512,0.7228915662650603,0.7228915662650603,154.0,-89.0,18.0,
127-271-365淘房测试_1463737634.csv,16.0,32.0,0.5,63.0,271.0,0.23247232472324722,0.7675276752767528,0.6055312954876274,0.6055312954876274,235.0,-172.0,16.0,
115-157-天天红包测试_1463737606.csv,12.0,17.0,0.7058823529411765,50.0,157.0,0.3184713375796178,0.6815286624203822,0.6934917634350526,0.6934917634350526,122.0,-72.0,12.0,
119-337-急救快通测试_1463737643.csv,20.0,42.0,0.47619047619047616,53.0,337.0,0.1572700296735905,0.8427299703264095,0.608527962288408,0.608527962288408,288.0,-235.0,20.0,
124-326-衣批测试_1463737628.csv,31.0,40.0,0.775,92.0,326.0,0.2822085889570552,0.7177914110429449,0.7452994965581012,0.7452994965581012,238.0,-146.0,31.0,
11-117-广告云推送调研测试_1463737325.csv,7.0,9.0,0.7777777777777778,54.0,117.0,0.46153846153846156,0.5384615384615384,0.6363636363636364,0.6363636363636364,94.0,-40.0,7.0,
